編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
544,中科三,神經網路,永續發展,殘差連接,Residual Connection,-,FALSE,訓練超深層網路,跳躍連接 (Skip),允許信號繞過一層或多層直接傳遞，解決梯度退化問題。,提升深層網路的穩定性。,ResNet 等現代模型的基礎。,氣象預報：衛星雲圖特徵提取（颱風強度分類）；空污：PM2.5影像分布分析,智慧耕作：病蟲害影像特徵提取；精準養殖：魚群行為影像分析,智慧交通：車流影像特徵分析；自駕：道路場景理解,品質檢測：產線瑕疵影像特徵萃取；AOI光學檢查核心,智慧醫療：X光/病理切片影像特徵學習；半導體：晶圓圖案識別,智慧零售：商品影像特徵作為推薦依據,智慧消防：火焰/煙霧影像特徵提取分類
545,中科一,數據集,問責性,影像網路,ImageNet,-,FALSE,提供大標註數據集,大規模層級式分類,擁有超過 1400 萬張手動標註影像的龐大資料庫。,訓練通用視覺模型的基準。,AI 視覺演算法的性能指標。,,,,,,,
546,中科一,目標偵測,安全與問責,區域建議網路,Region Proposal Network,RPN,FALSE,自動選取目標區域,滑動視窗與錨點,快速生成可能包含目標物之區域（Proposals）的子網路。,取代傳統低效的選取演算法。,Faster R-CNN 中的核心組件。,氣象預報：衛星雲圖特徵提取（颱風強度分類）；空污：PM2.5影像分布分析,智慧耕作：病蟲害影像特徵提取；精準養殖：魚群行為影像分析,智慧交通：車流影像特徵分析；自駕：道路場景理解,品質檢測：產線瑕疵影像特徵萃取；AOI光學檢查核心,智慧醫療：X光/病理切片影像特徵學習；半導體：晶圓圖案識別,智慧零售：商品影像特徵作為推薦依據,智慧消防：火焰/煙霧影像特徵提取分類
547,中科一,目標偵測,永續發展,單次偵測器,Single Shot Multibox Detector,SSD,FALSE,即時目標偵測,多尺度特徵圖檢測,僅需掃描一次影像即可同時預測類別與位置，速度極快。,應用於移動端或嵌入式設備。,智慧手機端即時路牌辨識。,,,,,,,
548,中科一,影像分割,安全與問責,全卷積網路,Fully Convolutional Network,FCN,FALSE,像素級語義分割,捨棄全連接層,將 CNN 末端改為卷積層，輸出與原圖等大的分類圖。,將影像中每個像素歸類。,衛星圖資自動土地分類。,災害監測：衛星圖像素級洪水範圍標定；PM2.5高污染區域熱點圖,智慧耕作：農田土地利用類型分割（作物/雜草/裸地）；病害感染面積測量,自駕與輔助：道路/人行道/標線語義標記供ADAS感知,品質檢測：PCB電路板佈線缺陷範圍精確分割,智慧醫療：腫瘤/器官邊界勾勒輔助手術規劃,智慧生活：AR虛擬試穿人體輪廓分割,智慧消防：火場煙霧/火焰像素範圍分割；逃生路徑辨識
549,中科一,神經網路,透明可解釋,上採樣層,Upsampling Layer,-,FALSE,恢復影像解析度,插值或轉置卷積,將縮小後的特徵圖放大還原至原始影像大小的過程。,用於影像分割或生成。,模糊影像的超解析度重建。,,,,,,,
550,中科三,神經網路,永續發展,跳躍連接,Skip Connections,-,FALSE,保留空間細節,跨層特徵融合,在編碼器與解碼器間直接傳遞特徵，保留位置資訊。,解決影像分割中的邊緣模糊問題。,U-Net 醫學影像精準分割。,災害監測：衛星圖像素級洪水範圍標定；PM2.5高污染區域熱點圖,智慧耕作：農田土地利用類型分割（作物/雜草/裸地）；病害感染面積測量,自駕與輔助：道路/人行道/標線語義標記供ADAS感知,品質檢測：PCB電路板佈線缺陷範圍精確分割,智慧醫療：腫瘤/器官邊界勾勒輔助手術規劃,智慧生活：AR虛擬試穿人體輪廓分割,智慧消防：火場煙霧/火焰像素範圍分割；逃生路徑辨識
551,中科一,影像分割,安全與問責,遮罩區域卷積網路,Mask R-CNN,-,FALSE,實例分割,邊框檢測+像素遮罩,在 Faster R-CNN 基礎上增加一個分支來生成精確的像素遮罩。,同時識別物體類別與精確邊界。,自駕車精準識別行人與障礙物。,氣象預報：衛星雲圖特徵提取（颱風強度分類）；空污：PM2.5影像分布分析,智慧耕作：病蟲害影像特徵提取；精準養殖：魚群行為影像分析,智慧交通：車流影像特徵分析；自駕：道路場景理解,品質檢測：產線瑕疵影像特徵萃取；AOI光學檢查核心,智慧醫療：X光/病理切片影像特徵學習；半導體：晶圓圖案識別,智慧零售：商品影像特徵作為推薦依據,智慧消防：火焰/煙霧影像特徵提取分類
552,中科三,評估指標,問責性,交併比,Intersection over Union,IoU,FALSE,衡量檢測準確性,預測與真實面積比,計算「預測框」與「真實框」重疊面積除以聯集面積。,判斷物體偵測模型是否抓準目標。,自駕車避障系統的誤差分析。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
553,中科一,目標偵測,透明可解釋,預測框,Predicted Box,-,FALSE,目標位置視覺化,"座標值輸出 (x, y, w, h)",模型輸出的矩形框，代表預期目標物所在的位置與大小。,顯示偵測結果。,商店人流統計系統。,,,,,,,
554,中科三,幾何運算,透明可解釋,交集,Intersection,-,FALSE,計算重疊區域,邏輯與運算 (AND),指預測區域與真實區域重疊的部分。,作為計算 IoU 的分子。,碰撞偵測演算法。,,,,,,,
555,中科三,幾何運算,透明可解釋,聯集,Union,-,FALSE,計算總涵蓋區域,邏輯或運算 (OR),指預測區域與真實區域合併後的總範圍。,作為計算 IoU 的分母。,計算空間覆蓋率。,,,,,,,
556,中科一,安防實務,隱私保護,監控與安防,Surveillance & Security,-,FALSE,維護公共安全,影像分析與預警系統,利用 AI 技術進行即時影像監控與異常行為分析。,預防犯罪與即時事故響應。,機場與車站的安全管理系統。,,,,,,,
557,中科一,安防實務,隱私保護,監控,Surveillance,-,FALSE,狀態觀測與記錄,長期影像錄製與追蹤,對特定區域或對象進行持續性的視覺觀測與數據採集。,追蹤歷史事件或行為模式。,城市交通流量長期觀察。,,,,,,,
558,中科一,安防實務,安全與問責,安全,Security,-,FALSE,防止非法侵入,身份驗證與門禁,側重於保護資產、資料及人身免受惡意攻擊。,執行權限管控與威脅偵測。,企業園區人臉辨識門禁。,,畜牧管理：牛隻個體臉部識別追蹤（乳牛個體健康管理）,自駕與輔助：疲勞駕駛臉部特徵偵測（眼皮閉合角度）,製程優化：廠區人員身份核驗，防止未授權進入,金融科技：ATM/網銀人臉身份核實；健康管家：情緒健康狀態辨識,智慧零售：販賣機顧客年齡/性別分析精準推薦,公共安全：協尋失蹤/通緝人員特徵比對；刑事案件追查
559,中科一,安防實務,問責性,自動化車牌辨識,Automatic Number Plate Recognition,ANPR,FALSE,車輛自動化管理,影像辨識與 OCR,結合車牌定位與文字辨識，自動讀取車牌號碼的技術。,自動扣費、黑名單追蹤。,停車場自動收費系統。,,,,,,,
560,中科一,文字辨識,透明可解釋,字元切割,Character Segmentation,-,FALSE,孤立單個文字,投影法或連通域分析,將辨識出的文字區域切分為單個字元的過程。,準備給分類模型進行單字辨識。,辨識手寫地址時的字元拆解。,,,,,,,
561,中科一,文字辨識,透明可解釋,字元辨識,Character Recognition,-,FALSE,文字內容轉換,模板匹配或神經網路,將切分後的影像字元轉化為對應的數位編碼（如 ASCII）。,提取影像中的資訊內容。,掃描文件轉為 Word 檔。,,,,,,,
562,中科一,車牌辨識,透明可解釋,車牌定位,License Plate Localization,-,FALSE,鎖定車牌區域,邊緣檢測與顏色過濾,在複雜背景的車輛影像中精確尋找車牌所在矩形區域。,作為車牌辨識的第一步。,公路超速自動取締。,,,,,,,
563,中科二,資料工程,隱私保護,前處理,Pre-processing,-,FALSE,淨化與格式化數據,數據轉換演算法,影像進入模型前的降噪、縮放與正規化處理。,提高辨識穩定度與速度。,車牌辨識前的灰階化與去噪。,,,,,,,
564,中科一,視覺任務,安全與問責,檢測,Detection,-,FALSE,確定物體存在與位置,分類+定位,識別影像中「有什麼」以及「在哪裡」的過程。,標記目標物。,找出監視器中的可疑包裹。,,,,,,,
565,中科一,視覺任務,問責性,辨識,Recognition,-,FALSE,確定具體身份,特徵比對與分類,進一步確認目標物「具體是誰」或「什麼型號」。,身份比對與分類。,透過車牌辨識確認車主身份。,,,,,,,
566,"初科一

中科三",AI 治理,"隱私保護

問責性",一般資料保護規範,General Data Protection Regulation,GDPR,FALSE,保障個人資料主權,被遺忘權、資料最小化,歐盟於 2018 年實施的全球最嚴格隱私法，規範個資蒐集、處理及跨境傳輸。,確保 AI 模型訓練數據來源合法，並賦予用戶撤回數據的權利。,跨國電商平台處理歐洲客戶行為數據。,,,,,,,
567,"初科一

中科三",AI 治理,安全與問責,醫療保險流通與責任法案,Health Insurance Portability and Accountability Act,HIPAA,FALSE,保護醫療隱私與安全,實體、技術與行政規範,美國針對受保護健康資訊 (PHI) 所制定的標準，強制要求數據加密與存取控管。,規範 AI 在處理病患病歷、醫學影像時的隱私保護標準。,開發輔助診斷 AI 時的醫療影像數據去識別化。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
568,中科一,系統部署,安全與問責,即時推論,Real-time Inference,-,FALSE,極低延遲決策,串流數據處理與硬體加速,AI 模型接收輸入數據後，在極短時間內（通常為毫秒級）完成運算並輸出結果的過程。,用於需要立即回饋的關鍵任務。,手術機器人即時避障、急診病灶自動偵測。,,,,,,,
569,中科一,應用領域,隱私保護,醫學影像,Medical Imaging,-,FALSE,身體內部結構視覺化,光學、聲學與放射學成像,透過非侵入性技術獲取人體內部組織圖像，用於臨床分析與醫療干預。,提供 AI 訓練所需的視覺大數據。,AI 輔助放射科醫師篩檢肺結節。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
570,中科一,醫學影像,透明可解釋,電腦斷層掃描,Computed Tomography Scan,CT Scan,FALSE,獲取斷面結構資訊,X 光穿透與數位重建,利用旋轉 X 光束穿透人體，經電腦運算重建出人體部位的橫斷面影像。,提供比傳統 X 光更精確的組織結構數據。,腦中風急性期出血區域辨識。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
571,中科一,醫學影像,"安全與問責

隱私保護",磁振造影,Magnetic Resonance Imaging,MRI,FALSE,高對比軟組織成像,核磁共振物理現象,利用強力磁場與無線電波，使人體內的氫原子產生共振並釋放訊號，經電腦重建影像。,提供極佳的軟組織（如腦、肌肉、神經）對比度，無電離輻射。,腦部腫瘤精準分割、脊椎神經病變偵測。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
572,中科一,影像處理,透明可解釋,多序列影像,Multi-sequence Imaging,-,FALSE,多維度診斷資訊,"不同脈衝序列 (T1, T2)",MRI 可透過調整參數獲得 T1 權重（解剖結構）或 T2 權重（病理變化）等多種影像。,讓 AI 模型能從不同物理屬性中綜合判斷病灶。,前列腺癌的多參數 AI 輔助診斷。,,,,,,,
573,中科一,實務應用,永續發展,工業瑕疵檢測,Industrial Defect Detection,-,FALSE,自動化品質控管,特徵提取與異常檢測,利用電腦視覺技術自動辨識產品表面的裂痕、髒汙或形狀異常。,取代人工目檢，提高生產良率與效率。,半導體晶圓表面刮痕偵測。,,,,,,,
574,中科二,商務分析,透明可解釋,產品行為分析,Product Behavior Analysis,-,FALSE,優化產品設計,數據挖掘與序列分析,透過追蹤用戶與產品互動的數據，分析產品功能的受歡迎程度與問題。,根據數據反饋迭代產品特徵。,APP 功能點擊流分析。,,,,,,,
575,中科二,商務分析,隱私保護,客戶行為追蹤,Customer Behavior Tracking,-,FALSE,精準行銷與推薦,跨渠道數據標記,在實體或數位空間紀錄客戶的瀏覽、停留與購買路徑。,建立用戶畫像，提升轉化率。,零售店內動線分析。,,,,,,,
576,中科一,數據視覺化,透明可解釋,熱點圖,Heatmap,-,FALSE,視覺化分佈強度,色彩編碼與密度統計,以色彩深淺代表數值高低或關注度分佈的圖表。,識別影像中的關鍵區域或網頁點擊熱區。,顯示 AI 判斷瑕疵的關注位置。,,,,,,,
577,中科一,互動技術,永續發展,擴增實境,Augmented Reality,AR,FALSE,虛實資訊整合,即時渲染與空間定位,在真實世界的影像上疊加虛擬數位資訊的技術。,強化即時資訊獲取能力。,遠端工業維修導引。,,,,,,,
578,中科一,互動技術,永續發展,虛擬實境,Virtual Reality,VR,FALSE,沉浸式體驗,全景渲染與頭戴顯示,透過電腦生成三維虛擬環境，讓使用者完全沉浸於數位世界。,模擬高危險或高成本的場景訓練。,醫學手術模擬演練。,,,,,,,
579,中科一,實務應用,安全與問責,自動駕駛,Autonomous Driving,-,FALSE,無人化運輸安全,多感測器融合與路徑規劃,整合視覺、雷達與 AI 決策系統，使車輛具備自動行駛與避障能力。,降低人為事故，優化交通效率。,無人物流車配送。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
580,中科一,電腦視覺,安全與問責,車道線偵測,Lane Detection,-,FALSE,輔助行車定位,邊緣檢測與哈夫變換,識別影像中車道線的邊界，確保車輛行駛在正確路徑。,車道偏移警示系統的核心。,自駕車導航與偏離校正。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
581,中科一,多模態,永續發展,多模態融合,Multimodal Fusion,-,FALSE,提升決策可靠度,特徵級或決策級融合,將來自不同感測器（如相機、光達、超音波）的資訊整合判斷。,補足單一感測器的限制。,自駕車在大雨環境下的障礙物辨識。,氣象預報：自駕系統結合即時路面積水/能見度警示,智慧耕作：農場自駕拖拉機自動施肥/犁田,自駕與輔助：自駕公車測試、ADAS駕駛輔助、疲勞駕駛偵測（核心場景）,製程優化：工廠內自駕AGV物料搬運,半導體：自駕晶片研發驗證場景,智慧生活：配送無人車/電動輪椅自駕輔助,智慧消防：救災自駕機器人進入火場偵測
582,中科三,模型效能,永續發展,泛化能力,Generalization,-,FALSE,應對未知數據,降低過擬合風險,模型對未見過的測試數據做出正確預測的能力。,衡量模型在實際應用中的穩定性。,訓練好的模型在不同工廠的適用度。,,,,,,,
583,中科三,數據前處理,透明可解釋,雜訊添加,Noise Addition,-,FALSE,增強模型魯棒性,隨機擾動導入,在訓練數據中主動加入高斯雜訊或其他擾動。,防止模型對特定畫質過擬合。,模擬監視器畫質不良時的辨識能力。,,,,,,,
584,中科三,AI 治理,隱私保護,K-匿名化,K-Anonymity,-,FALSE,防止個人身份識別,數據群組化處理,確保資料集中每筆紀錄與至少 K-1 筆紀錄具備相同特徵，使個體無法被唯一辨識。,在共享敏感數據前進行去識別化。,發布醫療統計數據供學術研究。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
585,中科三,AI 治理,公平性,偏誤,Bias,-,FALSE,確保預測不偏不倚,數據或演算法不平衡,指模型預測結果偏離真實分佈，或對特定群體存在歧視。,識別並修正 AI 決策的不公平性。,應徵篩選 AI 對性別的偏好問題。,,,,,,,
586,中科三,模型評估,問責性,偽陽性 (誤報),False Positive,FP,FALSE,衡量錯誤警報,第一型錯誤 (Type I),模型錯誤地將負樣本（正常）判定為正樣本（異常）。,評估系統是否過於敏感。,門禁系統誤將路人當成員工。,,,,,,,
587,中科三,模型評估,問責性,偽陰性 (漏報),False Negative,FN,FALSE,衡量漏檢風險,第二型錯誤 (Type II),模型錯誤地將正樣本（異常）判定為負樣本（正常）。,評估系統是否存在安全隱患。,機場安檢漏檢危險品。,,,,,,,
588,中科三,AI 治理,問責性,偏誤稽核,Bias Audit,-,FALSE,確保合規與公平,系統性測試與評估,針對 AI 系統的開發與產出進行定期審查，確認有無演算法歧視。,降低法律與道德風險。,銀行評估貸款 AI 是否符合社會公平。,,,,,,,
589,中科三,模型評估,問責性,線下面積,Area Under Curve,AUC,FALSE,分類性能綜合評估,ROC 曲線下方的面積值,在 0 到 1 之間衡量分類模型區分正負樣本能力的綜合指標。,評比不同分類模型間的穩健性。,金融：判斷信用卡詐騙偵測系統的整體辨識力。,氣象：評估強降雨警報模型的可靠性水準。,農業：分析病害影像識別系統的穩定度。,物流：判定包裹破損等級分類模型的效能。,製造：驗證瑕疵檢測系統對不同產品線的通用性。,醫療：評估癌症篩檢 AI 的臨床診斷效能。,零售：優化推薦系統在冷啟動情況下的表現。,消防：分析火災早期偵測系統的辨認精準度。
590,中科二,資料處理,透明性,位置索引,Integer-location based indexing,iloc,FALSE,精確截取資料區段,基於整數的位置定位 (0 開始),透過整數位置選取特定列與欄的資料。,資料清洗中用於切分訓練與測試集。,金融：快速擷取流水帳中最新的 10 筆交易進行異常偵測。,氣象：從十萬筆降雨紀錄中截取特定 24 小時段的數據。,精準農業：讀取多組感測器的前五個核心參數。,交通：截取近一小時的路口流量特徵數據。,製造：擷取機台停機前的 10 秒關鍵感測值。,醫療：分析病患近五次生命時序監測值趨勢。,零售：擷取年度銷售高峰期的前 10 名熱銷品項。,消防：選取建築內受災區域的前 5 個熱感應探測器。
591,中科二,統計學,問責性,顯著性值,P-value,-,FALSE,判斷統計顯著強度,錯誤拒絕機率 (Alpha),在虛無假設成立下，觀察到當前結果或更極端結果的機率。,判定實驗結果是否具備統計顯著性。,金融：判斷新版風控模型對壞帳率的提升是否有顯著差異。,氣象：判定極端氣候現象是否超出歷史常態分佈範圍。,農業：驗證新型肥料是否顯著提升稻米單位產量。,物流：判定配送路線優化後是否顯著縮短了交貨時間。,製造：驗證新製程是否顯著降低了產品瑕疵率。,醫療：臨床試驗中確認新藥相較安慰劑具備顯著療效。,零售：分析 A/B 測試中促銷方案對點擊率的顯著影響。,消防：分析新佈署策略是否顯著縮短了抵達火場的時間。
592,中科三,模型評估,問責性,混淆矩陣,Confusion Matrix,-,FALSE,解構分類錯誤模式,分類對照表 (TP/TN/FP/FN),展示模型預測類別與實際類別交叉分布的矩陣。,計算 Precision、Recall 與 F1-Score 指標。,金融：分析詐騙偵測系統中「漏報」與「誤報」的成本比例。,氣象：評估強降雨預警模式中，原本預測無雨卻實際有雨的比例。,農業：分析病害辨識模型是否經常將 A 病害誤認為 B 病害。,物流：評估包裹損壞分級模型之精確性。,製造：診斷瑕疵檢測系統是否對特定刮痕存在系統性誤判。,醫療：分析癌症篩檢模型中「偽陰性」(漏檢) 的比率以降低風險。,零售：優化推薦系統，分析客戶對推薦內容的負面回饋原因。,消防：評估火災預警系統中，誤觸警報與真實火災的比例。
593,中科二,資料處理,透明性,寬轉長轉置,Melt,-,FALSE,優化數據分析結構,資料欄位摊平運算,將複數欄位(寬型)轉換為變數與觀察值對應(長型)的過程。,便利於進行視覺化呈現與時序分析。,金融：將各年度的利息收入欄位轉為單一時序欄位以利趨勢繪製。,氣象：把各個氣象站的監測項目寬格式換轉為適合繪製多線圖的長格式。,農業：將多個感測器的日讀值展開為適合進行統計檢定的格式。,物流：將多條運算路徑的效能轉置為單一特徵欄位。,製造：將不同產線的稼動率欄位轉置以利多維度對比。,醫療：把病患多次檢查項目的寬資料轉變為生命週期分析用的長資料。,零售：將不同節慶的銷售額轉換為連續時間數列。,消防：將各區火警次數的年報表轉置為地理分佈時序分析。
594,中科二,特徵工程,透明性,標籤編碼,Label Encoding,-,FALSE,類別數據數值化,"有序數值映射 (0, 1, 2...)",將具有層次或順序關係的類別文字轉換為數字。,處理具備順序性(Ordinal)的特徵欄位。,"金融：將客戶信用等級「優、良、劣」編碼為 2, 1, 0。",氣象：將空氣品質等級「良好、普通、預警」轉為數值後建模。,農業：將作物的生長階段「發芽、成長、收穫」進行數值化。,物流：將運輸包裹的急迫度等級進行數值標註並供模型排列優先權。,製造：將產品檢測出的嚴重程度等級轉換為模型可處理的數值。,醫療：將病患的痛覺量表等級轉化為數值化指標分析。,零售：將會員等級「白金、金卡、銀卡」進行權重編碼。,消防：將火場風險等級進行數值化標記以供救災優先級排序。
595,中科三,模型評估,問責性,資訊準則,AIC/BIC,-,FALSE,平衡模型精簡與擬合,最大概似與參數懲罰項,衡量模型配適度並對過多參數進行懲罰，數值越低模型效能與簡潔度越佳。,在特徵篩選中選擇最佳的模型子集。,金融：在多個信用評點模型中挑選參數最精簡且預測力最強的模型。,氣象：在多重線性回歸中篩選能預測氣溫而不致度度擬合的特徵。,農業：在病蟲害預測模型中排除冗餘的無意義環境因子。,物流：優化配送成本預測函數，避免過多的變數干擾決策。,製造：挑選最能解釋產量波動的核心關鍵機台特徵。,醫療：在腫瘤預測因子中篩選最顯著且穩定的變數組合。,零售：優化推薦演算法的參數個數，降低伺服器運算負擔。,消防：在建築火災風險分析模型中選取最關鍵的特徵組合。
596,中科三,資料處理,安全性,標準化,Standardization (Z-score),-,FALSE,消除特徵量綱干擾,均值歸零與標準差歸一,將數據轉換為均值 0、標準差 1 的分佈，使不同尺度的數據能共用。,在 KNN、SVM 等基於距離的演算法前必須執行的預處理。,金融：將「年收」與「年齡」等不同量綱的數值拉到相同基準點進行分群。,氣象：將「降雨量」與「日照時數」進行標準化後做聯合特徵分析。,農業：將「土壤酸鹼值」與「濕度」進行標準化，避免特定因子權重過大。,物流：將「車輛里程」與「油耗」進行量標對齊。,製造：將不同感測器的電壓與振動頻率轉為可比對規格。,醫療：標準化各類生化指標（如血糖、膽固醇）以利風險建模。,零售：將「客單價」與「消費次數」進行標準化處理進行 RFM 分群。,消防：對火場內部不同區域的溫升斜率進行標準化分析。
597,中科二,系統架構,問責性,分治計算,MapReduce,-,FALSE,處理巨量資料流,映射、排序、彙總,將大數據任務切割後分散至複數節點執行(Map)，再將結果彙整(Reduce)的流程。,在大數據平台上執行大規模日誌分析或統計。,金融：即時計算全台數百萬筆交易中的總金額與最高額警示路徑。,氣象：快速彙總過去三十年全球測站的極端氣溫紀錄並找出趨勢。,農業：分析全國衛星圖資庫的植被指數變化數據。,物流：計算雙 11 期間全球數億個包裹的動態路徑優化方案。,製造：彙整全球工廠同步感測出的龐大日誌進行製程優化。,醫療：分析全國健保資料庫中上億筆處方紀錄的關聯性模式。,零售：即時計算跨國電商平台每日數千萬筆不重複點擊的統計。,消防：在災情輿情監控中即時彙整社群媒體上各地的災情報導資訊。
598,中科二,統計學,透明性,餘弦相似度,Cosine Similarity,-,FALSE,衡量語義或方向關聯,向量夾角餘弦值深度分析,計算兩個向量夾角的餘弦值來衡量相似度，值愈大相關性愈高。,常用於 RAG 檢索內容、推薦系統或文本相似度分析。,金融：比對兩位客戶的消費行為向量，以進行相似理財產品推薦。,氣象：搜尋歷史氣象檔案中與今日大氣壓力圖像最相似的年份。,農業：在病蟲害圖庫中檢索與目前偵測到之病徵最相似的圖像。,物流：分析配送點的經緯度向量分佈，自動將相似區域包裹進行併單。,製造：搜尋歷史生產日誌中與當前異常模式最接近的操作參數紀錄。,醫療：在病理資料庫中檢索與目前病患特徵最相符的臨床過往案例。,零售：推薦系統：根據用戶讀取過的產品向量推薦語義最相近的商品。,消防：自動選取火災現場中最能代表該區域特徵的安全設施配置方案。
599,初科二,知名工具與平台,"安全性

責任與問責",-,Sora,-,FALSE,生成長達一分鐘且符合物理規律的高畫質影片,影片壓縮網路 (Visual Patches) 與 Diffusion Transformer,由 OpenAI 開發的大型影片生成模型，能根據文字指令產出極具真實感與時空連貫性的影像。,長秒數影片生成、物理環境模擬,"數位內容創作

虛擬環境原型開發",災害監測：生成符合物理規律的海嘯/洪水模擬長影片,智慧耕作：生成一分鐘農業氣象預報動態影片,交通管理：生成符合物理規律的交通流量模擬長影片,製程優化：生成工廠產線流程模擬長影片用於規劃,智慧醫療：生成人體器官運作模擬長影片用於教學,智慧生活：數位內容創作與影視特效長影片生成,智慧消防：生成符合物理規律的火災擴散模擬長影片
600,中科一,AI 技術應用,"透明度

可解釋性",多模態生成,Multimodal Generation,-,FALSE,實現跨越不同資料型態的內容產出,建立共同表徵空間 (Joint Embedding Space) 對齊不同模態特徵,指 AI 系統能處理並整合兩種以上不同類型的輸入（如文字、圖像、音訊），並生成對應內容的技術。,文本轉圖像、影像描述生成、音訊驅動口型,"虛擬直播主 (VTuber) 自動對嘴

根據醫學報告生成模擬病灶圖",災害監測：整合衛星影像、感測器數據與文字報告的跨模態災情分析,智慧耕作：整合影像、氣象與土壤數據的跨模態農業決策,交通管理：整合影像、雷達與 GPS 的跨模態交通分析,製程優化：整合視覺、聲音與振動的跨模態設備故障診斷,智慧醫療：整合影像、基因與病歷的跨模態輔助診斷,智慧零售：整合文字、影像與語音的跨模態客服體驗,智慧消防：整合熱影像、煙霧感測與語音的跨模態火場分析
601,中科三,深度學習,"安全性

責任與問責",深度卷積生成對抗網路,Deep Convolutional Generative Adversarial Networks,DCGAN,FALSE,提升 GAN 生成圖像的品質與訓練穩定性,將卷積神經網路 (CNN) 引入 GAN 架構，捨棄全連接層,一種改進型的生成對抗網路，利用卷積層提取空間特徵，使生成的影像更具結構化與真實感。,高品質影像合成、特徵空間算術、數據增強,"自動生成手寫數字或人臉樣本

補全損壞的歷史照片存檔",災害監測：生成高品質合成衛星影像擴充罕見災害訓練集,智慧耕作：生成合成農作物病害影像擴充訓練資料,交通管理：生成合成交通標誌影像用於辨識模型訓練,製程優化：生成合成瑕疵影像擴充品檢訓練資料,智慧醫療：生成合成醫學影像保護病患隱私,智慧零售：自動生成手寫數字或人臉用於身分驗證訓練,智慧消防：生成合成火場影像擴充消防 AI 訓練資料
602,中科三,深度學習,"透明度

安全性",-,StyleGAN,-,FALSE,實現對生成影像特徵（風格）的精細解耦控制,映射網路 (Mapping Network) 與 風格調節 (AdaIN),由 NVIDIA 開發，透過將潛在向量對齊到中間風格空間，實現對影像粗糙到細微特徵的層次化控制。,超寫真人臉生成、屬性編輯 (如換髮型、變老),"虛擬模特兒生成

影視特效中的面部重塑",災害監測：控制合成衛星影像的特定天氣風格特徵,智慧耕作：控制生成農作物影像的品種與生長階段風格,交通管理：控制生成車輛影像的車型與顏色風格特徵,製程優化：控制生成產品影像的材質與表面風格,智慧醫療：控制生成虛擬病理切片的組織風格特徵,智慧零售：虛擬模特兒生成與時尚風格精細控制,智慧消防：控制生成訓練影像的火場煙霧密度風格
